iter	RMSE
705	40982.71061
706	40965.63652
707	40951.90728
708	40932.06918
709	40916.9845
710	40900.18722
711	40882.28803
712	40873.6609
713	40865.34619
714	40859.62255
715	40844.57434
716	40827.12887
717	40810.86903
718	40803.53898
719	40788.609
720	40767.46326
721	40758.50575
722	40740.39822
723	40720.35454
724	40711.60163
725	40702.46798
726	40680.65456
727	40665.97791
728	40660.62283
729	40648.11268
730	40638.50868
731	40617.80355
732	40602.59544
733	40597.61828
734	40586.38445
735	40569.77048
736	40553.50796
737	40543.22305
738	40531.36171
739	40514.9631
740	40504.61527
741	40496.26707
742	40486.53538
743	40466.13136
744	40454.53614
745	40442.70835
746	40436.945
747	40429.16552
748	40416.35412
749	40401.86601
750	40389.50872
751	40375.11878
752	40360.08596
753	40352.88723
754	40340.15429
755	40328.24822
756	40322.28159
757	40311.59235
758	40304.13916
759	40293.20664
760	40280.59816
761	40263.13327
762	40246.39842
763	40232.61084
764	40217.37641
765	40207.44256
766	40199.54529
767	40190.67383
768	40178.48459
769	40172.93841
770	40161.9689
771	40147.95153
772	40134.08061
773	40116.42875
774	40105.85611
775	40093.17495
776	40082.61644
777	40070.72988
778	40057.48016
779	40044.49734
780	40035.35837
781	40016.01274
782	40007.56215
783	39993.00931
784	39977.03477
785	39969.73052
786	39962.79296
787	39951.97337
788	39944.71075
789	39930.41599
790	39923.52514
791	39915.99099
792	39908.2747
793	39896.8725
794	39882.53665
795	39869.02014
796	39852.89651
797	39844.04599
798	39830.85516
799	39821.33954
800	39805.69429
801	39796.49316
802	39783.65828
803	39768.23553
804	39757.28699
805	39749.25869
806	39739.76956
807	39721.25594
808	39714.65782
809	39706.33484
810	39697.45156
811	39676.98238
812	39667.0484
813	39656.4381
814	39639.53066
815	39626.47698
816	39618.2603
817	39603.97168
818	39595.86624
819	39583.08906
820	39571.05464
821	39562.62411
822	39552.79406
823	39536.35537
824	39527.6471
825	39515.5168
826	39504.79659
827	39496.72915
828	39490.69341
829	39481.00097
830	39469.83019
831	39457.07253
832	39446.01784
833	39432.91438
834	39425.51811
835	39412.07162
836	39404.36899
837	39393.42615
838	39382.96494
839	39376.14415
840	39365.3707
841	39351.76835
842	39336.29368
843	39326.39628
844	39317.62958
845	39309.54699
846	39293.09736
847	39278.43075
848	39266.11385
849	39251.18801
850	39236.68505
851	39228.96083
852	39215.13713
853	39206.5185
854	39194.99186
855	39183.95273
856	39175.89139
857	39165.20124
858	39156.06202
859	39143.89681
860	39128.56339
861	39115.92882
862	39101.15361
863	39091.3397
864	39081.50538
865	39070.5884
866	39065.07558
867	39055.73476
868	39041.71694
869	39031.44142
870	39017.35386
871	39006.59229
872	38997.66984
873	38986.6004
874	38974.62142
875	38963.11917
876	38945.08547
877	38937.49675
878	38921.85081
879	38904.85418
880	38893.72219
881	38882.81134
882	38873.14501
883	38867.71452
884	38859.09352
885	38842.95341
886	38831.55691
887	38821.45362
888	38804.58896
889	38797.87907
890	38783.0287
891	38774.58178
892	38764.25669
893	38757.79388
894	38744.59487
895	38733.81032
896	38724.18307
897	38714.77332
898	38701.45114
899	38691.80738
900	38682.58599
901	38670.96486
902	38655.45411
903	38645.88406
904	38634.74503
905	38626.79532
906	38611.04654
907	38600.51769
908	38590.84265
909	38579.98825
910	38567.36973
911	38560.74588
912	38556.34153
913	38543.93543
914	38533.1201
915	38522.73947
916	38509.01759
917	38497.98655
918	38487.82804
919	38479.85859
920	38467.78498
921	38458.41141
922	38449.29447
923	38442.54199
924	38424.60098
925	38417.43422
926	38408.34418
927	38403.30985
928	38389.05229
929	38379.95763
930	38368.84074
931	38358.28562
